#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: ADP3450
#Serial Number: DEMO
#Date Time: 2021-05-28 11:52:04.685
#Sample rate: 1024Hz
#Samples: 3963

Time (s),DIO 7
-1.95214344,0
-1.95116688,0
-1.95019032,0
-1.94921376,0
-1.9482372,0
-1.9472606399999999,0
-1.9462840799999999,1
-1.94530752,1
-1.94433096,1
-1.9433544,1
-1.94237784,1
-1.94140128,1
-1.94042472,1
-1.93944816,1
-1.9384716,1
-1.93749504,1
-1.93651848,1
-1.93554192,1
-1.93456536,1
-1.9335887999999999,1
-1.9326122399999999,1
-1.93163568,1
-1.93065912,1
-1.92968256,1
-1.928706,1
-1.92772944,1
-1.92675288,1
-1.92577632,1
-1.92479976,1
-1.9238232,1
-1.92284664,1
-1.92187008,1
-1.92089352,1
-1.91991696,1
-1.9189403999999999,1
-1.9179638399999999,1
-1.91698728,1
-1.91601072,1
-1.91503416,1
-1.9140576,1
-1.91308104,1
-1.91210448,1
-1.91112792,1
-1.91015136,1
-1.9091748,1
-1.90819824,1
-1.90722168,1
-1.90624512,1
-1.9052685599999999,1
-1.9042919999999999,1
-1.90331544,1
-1.90233888,1
-1.90136232,1
-1.90038576,1
-1.8994092,1
-1.89843264,1
-1.89745608,1
-1.89647952,1
-1.89550296,1
-1.8945264,1
-1.89354984,1
-1.89257328,1
-1.89159672,1
-1.8906201599999999,1
-1.8896435999999999,1
-1.88866704,1
-1.88769048,1
-1.88671392,1
-1.88573736,1
-1.8847608,1
-1.88378424,1
-1.88280768,1
-1.88183112,1
-1.88085456,1
-1.879878,1
-1.87890144,1
-1.87792488,1
-1.87694832,1
-1.8759717599999999,1
-1.8749951999999999,1
-1.87401864,1
-1.87304208,1
-1.87206552,1
-1.87108896,1
-1.8701124,1
-1.86913584,1
-1.86815928,0
-1.86718272,0
-1.86620616,0
-1.8652296,0
-1.86425304,0
-1.86327648,0
-1.8622999199999999,0
-1.8613233599999999,0
-1.8603468,0
-1.85937024,0
-1.85839368,0
-1.85741712,0
-1.85644056,0
-1.855464,0
-1.85448744,0
-1.85351088,0
-1.85253432,0
-1.85155776,0
-1.8505812,0
-1.84960464,0
-1.84862808,0
-1.8476515199999999,0
-1.8466749599999999,0
-1.8456984,0
-1.84472184,0
-1.84374528,0
-1.84276872,0
-1.84179216,0
-1.8408156,0
-1.83983904,0
-1.83886248,0
-1.83788592,0
-1.83690936,0
-1.8359328,0
-1.83495624,0
-1.83397968,0
-1.8330031199999999,0
-1.83202656,0
-1.83105,0
-1.83007344,0
-1.82909688,0
-1.82812032,0
-1.82714376,0
-1.8261672,0
-1.82519064,0
-1.82421408,0
-1.82323752,0
-1.82226096,0
-1.8212844,0
-1.82030784,0
-1.8193312799999999,0
-1.8183547199999999,0
-1.81737816,0
-1.8164016,0
-1.81542504,0
-1.81444848,0
-1.81347192,0
-1.81249536,0
-1.8115188,0
-1.81054224,0
-1.80956568,0
-1.80858912,0
-1.80761256,0
-1.806636,0
-1.80565944,0
-1.8046828799999999,0
-1.8037063199999999,0
-1.80272976,0
-1.8017532,0
-1.80077664,0
-1.79980008,0
-1.79882352,0
-1.79784696,0
-1.7968704,0
-1.79589384,0
-1.79491728,0
-1.79394072,1
-1.79296416,1
-1.7919876,1
-1.7910110399999999,1
-1.7900344799999999,1
-1.78905792,1
-1.78808136,1
-1.7871048,1
-1.78612824,1
-1.78515168,1
-1.78417512,1
-1.78319856,1
-1.782222,1
-1.78124544,1
-1.78026888,1
-1.77929232,1
-1.77831576,1
-1.7773392,1
-1.7763626399999999,1
-1.7753860799999999,1
-1.77440952,1
-1.77343296,1
-1.7724564,1
-1.77147984,1
-1.77050328,1
-1.76952672,1
-1.76855016,1
-1.7675736,1
-1.76659704,1
-1.76562048,1
-1.76464392,1
-1.76366736,1
-1.7626908,1
-1.7617142399999999,1
-1.76073768,1
-1.75976112,1
-1.75878456,1
-1.757808,1
-1.75683144,1
-1.75585488,1
-1.75487832,1
-1.75390176,1
-1.7529252,1
-1.75194864,1
-1.75097208,1
-1.74999552,1
-1.74901896,1
-1.7480423999999999,1
-1.7470658399999999,1
-1.74608928,1
-1.74511272,1
-1.74413616,1
-1.7431596,1
-1.74218304,1
-1.74120648,1
-1.74022992,1
-1.73925336,1
-1.7382768,1
-1.73730024,1
-1.73632368,1
-1.73534712,1
-1.73437056,1
-1.7333939999999999,1
-1.7324174399999999,1
-1.73144088,1
-1.73046432,1
-1.72948776,1
-1.7285112,1
-1.72753464,1
-1.72655808,1
-1.72558152,1
-1.72460496,1
-1.7236284,1
-1.72265184,1
-1.72167528,1
-1.72069872,1
-1.7197221599999999,1
-1.7187455999999999,1
-1.71776904,1
-1.71679248,1
-1.71581592,0
-1.71483936,0
-1.7138628,0
-1.71288624,0
-1.71190968,0
-1.71093312,0
-1.70995656,0
-1.70898,0
-1.70800344,0
-1.70702688,0
-1.70605032,0
-1.7050737599999999,0
-1.7040971999999999,0
-1.70312064,0
-1.70214408,0
-1.70116752,0
-1.70019096,0
-1.6992144,0
-1.69823784,0
-1.69726128,0
-1.69628472,0
-1.69530816,0
-1.6943316,0
-1.69335504,0
-1.69237848,0
-1.69140192,0
-1.6904253599999999,0
-1.6894488,0
-1.68847224,0
-1.68749568,0
-1.68651912,0
-1.68554256,0
-1.684566,0
-1.68358944,0
-1.68261288,0
-1.68163632,0
-1.68065976,0
-1.6796832,0
-1.67870664,0
-1.67773008,0
-1.6767535199999999,0
-1.6757769599999999,0
-1.6748004,0
-1.67382384,0
-1.67284728,0
-1.67187072,0
-1.67089416,0
-1.6699176,0
-1.66894104,0
-1.66796448,0
-1.66698792,0
-1.66601136,0
-1.6650348,0
-1.66405824,0
-1.66308168,0
-1.6621051199999999,0
-1.6611285599999999,0
-1.660152,0
-1.65917544,0
-1.65819888,0
-1.65722232,0
-1.65624576,0
-1.6552692,0
-1.65429264,0
-1.65331608,0
-1.65233952,0
-1.65136296,0
-1.6503864,0
-1.64940984,0
-1.64843328,0
-1.6474567199999999,0
-1.64648016,0
-1.6455036,0
-1.64452704,0
-1.64355048,0
-1.64257392,0
-1.64159736,1
-1.6406208,1
-1.63964424,1
-1.63866768,1
-1.63769112,1
-1.63671456,1
-1.635738,1
-1.63476144,1
-1.6337848799999999,1
-1.6328083199999999,1
-1.63183176,1
-1.6308552,1
-1.62987864,1
-1.62890208,1
-1.62792552,1
-1.62694896,1
-1.6259724,1
-1.62499584,1
-1.62401928,1
-1.62304272,1
-1.62206616,1
-1.6210896,1
-1.62011304,1
-1.6191364799999999,1
-1.61815992,1
-1.61718336,1
-1.6162068,1
-1.61523024,1
-1.61425368,1
-1.61327712,1
-1.61230056,1
-1.611324,1
-1.61034744,1
-1.60937088,1
-1.60839432,1
-1.60741776,1
-1.6064412,1
-1.6054646399999999,1
-1.6044880799999999,1
-1.60351152,1
-1.60253496,1
-1.6015584,1
-1.60058184,1
-1.59960528,1
-1.59862872,1
-1.59765216,1
-1.5966756,1
-1.59569904,1
-1.59472248,1
-1.59374592,1
-1.59276936,1
-1.5917928,1
-1.5908162399999999,1
-1.5898396799999999,1
-1.58886312,1
-1.58788656,1
-1.58691,1
-1.58593344,1
-1.58495688,1
-1.58398032,1
-1.58300376,1
-1.5820272,1
-1.58105064,1
-1.58007408,1
-1.57909752,1
-1.57812096,1
-1.5771444,1
-1.5761678399999999,1
-1.57519128,1
-1.57421472,1
-1.57323816,1
-1.5722616,1
-1.57128504,1
-1.57030848,1
-1.56933192,1
-1.56835536,1
-1.5673788,1
-1.56640224,1
-1.56542568,1
-1.56444912,1
-1.56347256,0
-1.5624959999999999,0
-1.5615194399999999,0
-1.56054288,0
-1.55956632,0
